owner_link,owner,views,followers,average_rating,google_maps_locatoin_link,long,lat
231,https://opensooq.com/en/mid/member-150998466538,Adam Bsisou آدم بسيسو, 441K,43 ,4.3,,,
232,https://opensooq.com/en/mid/6a8cb6ed,khaldoon bakeer, 296.2K,28 ,3.9,,,
233,https://opensooq.com/en/mid/member-109563766464832900465,تيراس العقاريه, 95.6K,15 ,3.7,,,
234,https://opensooq.com/en/mid/member-7021045,Razi Tarawneh , 12.8K,2 ,1,,,
235,https://opensooq.com/en/mid/member-100003256610220,عماد عبد الكريم الشواربة, 120.4K,321 ,3,,,
236,https://opensooq.com/en/shops/sky-real-estate-6338613,Sky Real Estate , 1.3M,100 ,3.4,,,
237,https://opensooq.com/en/shops/ابو-العبد-10021119,ابو العبد , 1.2M,89 ,3.1,,,
238,https://opensooq.com/en/mid/member-111076426424336639065,Mohammed Alqatham, 28.3K,107 ,0,,,
239,https://opensooq.com/en/mid/member-167668873064,عبدالحكيم قاسم , 4.1K,0 ,0,,,
240,https://opensooq.com/en/mid/member-148083975510,بشار , 34.7K,4 ,0,,,
241,https://opensooq.com/en/mid/AbedQundil,Abed Qundil, 1.6K,0 ,0,,,
242,https://opensooq.com/en/mid/member-1696011566.4058816,Ali , 802,0 ,0,,,
243,https://opensooq.com/en/mid/member-4830491,محمود عمرو , 117.7K,17 ,3.7,,,
244,https://opensooq.com/en/mid/zakaria1990,Mohammed Hassan Salim zakaria, 378.2K,74 ,4.1,,,
245,https://opensooq.com/en/mid/member-167700294819,osama alsalhi , 36.1K,2 ,5,,,
246,https://opensooq.com/en/mid/member-1709387578.817616,mahammed , 6.4K,2 ,4.5,,,
247,https://opensooq.com/en/mid/member-16161555896,م. أسامة جمال, 32.5K,6 ,0,,,
248,https://opensooq.com/en/mid/member-145309716814,بوابه جنوب المطار للإستثمارات العقارية , 717K,720 ,3.4,,,
249,https://opensooq.com/en/shops/مكتب-ابو-محمود-للوساطه-العقاريه-1627730, مكتب ابو محمود للوساطه العقاريه, 5.2M,886 ,3.3,,,
250,https://opensooq.com/en/mid/member-911329794,شركة الاتصال العمراني للاسكان , 472.2K,53 ,4,,,
251,https://opensooq.com/en/mid/member-165807413557,امجد ابو السمن , 96K,4 ,2,,,
252,https://opensooq.com/en/mid/member-145991781439,ابومحمد , 299.5K,21 ,3.9,,,
253,https://opensooq.com/en/mid/member-149314667158,صلو على الحبيب , 144.4K,14 ,3.8,,,
254,https://opensooq.com/en/mid/member-150631957050,م . خالد سكريه للهندسه المساحيه , 460.7K,66 ,4.4,,,
255,https://opensooq.com/en/mid/member-149820282738,Khamis , 773.1K,48 ,3.3,,,
256,https://opensooq.com/en/mid/member-1695310852.019710,Mohammad El Hilu , 36.9K,0 ,0,,,
257,https://opensooq.com/en/mid/member-166506226830,, 25.5K,5 ,5,,,
258,https://opensooq.com/en/mid/suhail57,سهيل , 41.5K,0 ,5,,,
259,https://opensooq.com/en/mid/member-153415019176,شركة البكري للاسكان , 445.6K,0 ,3.4,,,
260,https://opensooq.com/en/mid/member-0010600159577,Ayman Albraikat, 115.8K,12 ,4.4,,,
261,https://opensooq.com/en/mid/member-162086687693,شوق للتستشارات العقاريه , 24.8K,5 ,0,,,
262,https://opensooq.com/en/mid/j1950,ابراهيم الفايز, 51.2K,5 ,1,,,
263,https://opensooq.com/en/shops/نائل-13650931,نائل , 299.3K,28 ,3.3,,,
264,https://opensooq.com/en/mid/member-116093235758896019246,حبيب الكيلاني, 8.9K,1 ,0,,,
265,https://opensooq.com/en/mid/member-150279616149,Mutaz Almanaseer , 494.5K,55 ,4.2,,,
266,https://opensooq.com/en/mid/Ahmad_Fadel_Alqenneh,Ahmad Alqenneh, 56.9K,3 ,0,,,
